Unnamed: 0,food_code,food_name,food_group_nin,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,allergies,region,Serving_Size_g,food_type,protein_calorie_ratio,nutrient_score,health_score,diversity_score,energy_category
0,1,Palak Paneer,Vegetarian,175.00000000875,11.66666666725,10.500000000525,12.833333333975,2.33333333345,3.500000000175,29.166666668125004,Milk,North India,100,lunch,0.06,1.1666666666666667,26.5,4,Low
1,2,Chole Bhature,Vegetarian,355.0000000147917,53.250000002218755,11.833333333826388,17.750000000739583,5.916666666913194,7.100000000295833,0.0,Gluten,North India,100,lunch,0.0333333333333333,1.1833333333333331,44.5,7,Medium
2,3,Butter Chicken,Non-Vegetarian,320.0,9.142857142857142,22.857142857142858,18.285714285714285,2.742857142857143,1.8285714285714287,64.0,Milk,North India,100,lunch,0.0714285714285714,0.9142857142857144,64.5,2,Medium
3,4,Dal Tadka,Vegetarian,233.00000000337852,40.77500000059124,13.980000000202711,5.825000000084462,1.1650000000168925,5.825000000084462,0.0,,Pan-India,100,lunch,0.06,1.165,56.5,5,Low
4,5,Masala Dosa,Vegetarian,335.99999989248005,47.99999998464,6.7199999978496,11.5199999963136,0.9599999996928,2.8799999990784,0.0,Gluten,South India,100,breakfast,0.02,0.96,32.5,4,Medium
5,6,Chicken Biryani,Non-Vegetarian,455.0000000050556,55.611111111729016,25.277777778058642,15.166666666835185,5.055555555611728,2.0222222222446917,91.00000000101112,,Pan-India,100,lunch,0.0555555555555555,1.011111111111111,51.5,2,High
6,7,Samosa,Vegetarian,229.9999999448,27.599999993376002,4.599999998896,9.199999997792,3.6799999991168,4.599999998896,0.0,Gluten,Pan-India,100,snacks,0.02,0.92,24.0,1,Medium
7,8,Paneer Tikka,Vegetarian,182.00000000202223,8.088888888978767,15.166666666835185,10.111111111223456,2.0222222222446917,1.0111111111223459,30.33333333367037,Milk,Pan-India,100,lunch,0.0833333333333333,1.011111111111111,44.0,5,Low
8,9,Aloo Gobi,Vegetarian,154.00000000410665,20.533333333880886,5.133333333470222,6.160000000164266,1.0266666666940445,5.133333333470222,0.0,,Pan-India,100,dinner,0.0333333333333333,1.0266666666666666,28.5,3,Low
9,10,Mutton Rogan Josh,Non-Vegetarian,384.9999999855625,9.624999999639062,27.43124999897133,24.062499999097657,3.8499999998556254,0.9624999999639063,96.24999999639063,,Pan-India,100,dinner,0.07125,0.9475,60.0,1,Medium
10,11,Idli,Vegetarian,175.999999994368,35.19999999887361,5.866666666478934,4.693333333183147,0.0,4.693333333183147,0.0,Gluten,South India,100,breakfast,0.0333333333333333,1.1733333333333331,28.0,2,Low
11,12,Upma,Vegetarian,256.0,51.2,7.68,10.24,1.28,3.84,0.0,Gluten,Pan-India,100,breakfast,0.03,1.28,28.5,2,Low
12,13,Chicken Korma,Non-Vegetarian,327.9999999175314,11.24571428288679,23.428571422680815,18.742857138144654,3.7485714276289306,0.9371428569072326,70.28571426804245,Milk,Pan-India,100,lunch,0.0714285714285714,0.9371428571428572,58.5,2,Medium
13,14,Chana Masala,Vegetarian,263.00000000147276,42.08000000023564,10.52000000005891,7.364000000041237,3.156000000017673,6.312000000035346,0.0,,Pan-India,100,dinner,0.04,1.052,47.5,8,Medium
14,15,Vegetable Biryani,Vegetarian,341.9999999829,62.69999999686501,9.119999999544001,11.399999999430001,4.559999999772001,2.2799999998860003,0.0,,Pan-India,100,lunch,0.0266666666666666,1.14,30.0,3,Medium
